,timestamp,customer_id,location,before,after
0,2019-09-02 07:03:00,mo1,dairy,entrance,dairy
1,2019-09-02 07:04:00,mo1,dairy,dairy,dairy
2,2019-09-02 07:05:00,mo1,checkout,dairy,checkout
0,2019-09-02 07:03:00,mo2,dairy,entrance,dairy
1,2019-09-02 07:04:00,mo2,dairy,dairy,dairy
2,2019-09-02 07:05:00,mo2,dairy,dairy,dairy
3,2019-09-02 07:06:00,mo2,checkout,dairy,checkout
0,2019-09-02 07:04:00,mo3,dairy,entrance,dairy
1,2019-09-02 07:05:00,mo3,dairy,dairy,dairy
2,2019-09-02 07:06:00,mo3,checkout,dairy,checkout
0,2019-09-02 07:04:00,mo4,dairy,entrance,dairy
1,2019-09-02 07:05:00,mo4,dairy,dairy,dairy
2,2019-09-02 07:06:00,mo4,dairy,dairy,dairy
3,2019-09-02 07:07:00,mo4,dairy,dairy,dairy
4,2019-09-02 07:08:00,mo4,checkout,dairy,checkout
0,2019-09-02 07:04:00,mo5,spices,entrance,spices
1,2019-09-02 07:05:00,mo5,checkout,spices,checkout
0,2019-09-02 07:04:00,mo6,spices,entrance,spices
1,2019-09-02 07:05:00,mo6,dairy,spices,dairy
2,2019-09-02 07:06:00,mo6,dairy,dairy,dairy
3,2019-09-02 07:07:00,mo6,dairy,dairy,dairy
4,2019-09-02 07:08:00,mo6,dairy,dairy,dairy
5,2019-09-02 07:09:00,mo6,dairy,dairy,dairy
6,2019-09-02 07:10:00,mo6,dairy,dairy,dairy
7,2019-09-02 07:11:00,mo6,dairy,dairy,dairy
8,2019-09-02 07:12:00,mo6,dairy,dairy,dairy
9,2019-09-02 07:13:00,mo6,dairy,dairy,dairy
10,2019-09-02 07:14:00,mo6,dairy,dairy,dairy
11,2019-09-02 07:15:00,mo6,dairy,dairy,dairy
12,2019-09-02 07:16:00,mo6,dairy,dairy,dairy
13,2019-09-02 07:17:00,mo6,spices,dairy,spices
14,2019-09-02 07:18:00,mo6,drinks,spices,drinks
15,2019-09-02 07:19:00,mo6,drinks,drinks,drinks
16,2019-09-02 07:20:00,mo6,drinks,drinks,drinks
17,2019-09-02 07:21:00,mo6,drinks,drinks,drinks
18,2019-09-02 07:22:00,mo6,drinks,drinks,drinks
19,2019-09-02 07:23:00,mo6,drinks,drinks,drinks
20,2019-09-02 07:24:00,mo6,drinks,drinks,drinks
21,2019-09-02 07:25:00,mo6,spices,drinks,spices
22,2019-09-02 07:26:00,mo6,dairy,spices,dairy
23,2019-09-02 07:27:00,mo6,spices,dairy,spices
24,2019-09-02 07:28:00,mo6,spices,spices,spices
25,2019-09-02 07:29:00,mo6,checkout,spices,checkout
0,2019-09-02 07:04:00,mo7,spices,entrance,spices
1,2019-09-02 07:05:00,mo7,drinks,spices,drinks
2,2019-09-02 07:06:00,mo7,drinks,drinks,drinks
3,2019-09-02 07:07:00,mo7,drinks,drinks,drinks
4,2019-09-02 07:08:00,mo7,drinks,drinks,drinks
5,2019-09-02 07:09:00,mo7,spices,drinks,spices
6,2019-09-02 07:10:00,mo7,spices,spices,spices
7,2019-09-02 07:11:00,mo7,fruit,spices,fruit
8,2019-09-02 07:12:00,mo7,fruit,fruit,fruit
9,2019-09-02 07:13:00,mo7,checkout,fruit,checkout
0,2019-09-02 07:04:00,mo8,fruit,entrance,fruit
1,2019-09-02 07:05:00,mo8,fruit,fruit,fruit
2,2019-09-02 07:06:00,mo8,fruit,fruit,fruit
3,2019-09-02 07:07:00,mo8,checkout,fruit,checkout
0,2019-09-02 07:06:00,mo9,dairy,entrance,dairy
1,2019-09-02 07:07:00,mo9,dairy,dairy,dairy
2,2019-09-02 07:08:00,mo9,dairy,dairy,dairy
3,2019-09-02 07:09:00,mo9,dairy,dairy,dairy
4,2019-09-02 07:10:00,mo9,dairy,dairy,dairy
5,2019-09-02 07:11:00,mo9,dairy,dairy,dairy
6,2019-09-02 07:12:00,mo9,fruit,dairy,fruit
7,2019-09-02 07:13:00,mo9,checkout,fruit,checkout
0,2019-09-02 07:06:00,mo10,fruit,entrance,fruit
1,2019-09-02 07:07:00,mo10,fruit,fruit,fruit
2,2019-09-02 07:08:00,mo10,checkout,fruit,checkout
0,2019-09-02 07:06:00,mo11,drinks,entrance,drinks
1,2019-09-02 07:07:00,mo11,drinks,drinks,drinks
2,2019-09-02 07:08:00,mo11,checkout,drinks,checkout
0,2019-09-02 07:06:00,mo12,spices,entrance,spices
1,2019-09-02 07:07:00,mo12,drinks,spices,drinks
2,2019-09-02 07:08:00,mo12,drinks,drinks,drinks
3,2019-09-02 07:09:00,mo12,drinks,drinks,drinks
4,2019-09-02 07:10:00,mo12,checkout,drinks,checkout
0,2019-09-02 07:06:00,mo13,dairy,entrance,dairy
1,2019-09-02 07:07:00,mo13,dairy,dairy,dairy
2,2019-09-02 07:08:00,mo13,dairy,dairy,dairy
3,2019-09-02 07:09:00,mo13,dairy,dairy,dairy
4,2019-09-02 07:10:00,mo13,dairy,dairy,dairy
5,2019-09-02 07:11:00,mo13,dairy,dairy,dairy
6,2019-09-02 07:12:00,mo13,dairy,dairy,dairy
7,2019-09-02 07:13:00,mo13,spices,dairy,spices
8,2019-09-02 07:14:00,mo13,dairy,spices,dairy
9,2019-09-02 07:15:00,mo13,fruit,dairy,fruit
10,2019-09-02 07:16:00,mo13,checkout,fruit,checkout
0,2019-09-02 07:06:00,mo14,fruit,entrance,fruit
1,2019-09-02 07:07:00,mo14,fruit,fruit,fruit
2,2019-09-02 07:08:00,mo14,fruit,fruit,fruit
3,2019-09-02 07:09:00,mo14,checkout,fruit,checkout
0,2019-09-02 07:07:00,mo15,spices,entrance,spices
1,2019-09-02 07:08:00,mo15,fruit,spices,fruit
